"Город","Название города","Страна","Регион","Справка","Спорный"
"А-Бола","А-Бола","Испания",,"https://ru.wikipedia.org/wiki/А-Бола",
"Абабух","Абабух","Испания",,"https://ru.wikipedia.org/wiki/Абабух",
"Абаза","Абаза","Россия","Хакасия","https://ru.wikipedia.org/wiki/Абаза_(город)",
"Абакан","Абакан","Россия","Хакасия","https://ru.wikipedia.org/wiki/Абакан",
"Абдулино","Абдулино","Россия","Оренбургская область","https://ru.wikipedia.org/wiki/Абдулино",
"Абердин (Шотландия)","Абердин","Шотландия",,"https://ru.wikipedia.org/wiki/Абердин",
"Абиджан","Абиджан","Кот-д’Ивуар",,"https://ru.wikipedia.org/wiki/Абиджан",
"Абингдон (Англия)","Абингдон","Великобритания",,"https://ru.wikipedia.org/wiki/Абингдон_(Англия)",
"Абинск","Абинск","Россия","Краснодарский край","https://ru.wikipedia.org/wiki/Абинск",
"Абрау Дюрсо","Абрау Дюрсо","Россия",,"https://ru.wikipedia.org/wiki/Абрау-Дюрсо",
"Абсард","Абсард","Иран",,"https://en.wikipedia.org/wiki/Absard",
"Абу-Даби","Абу-Даби","ОАЭ",,"https://ru.wikipedia.org/wiki/Абу-Даби",
"Абуджа","Абуджа","Нигерия",,"https://ru.wikipedia.org/wiki/Абуджа",
"Абья-Палуоя","Абья-Палуоя","Эстония",,"https://ru.wikipedia.org/wiki/Абья-Палуоя",
"Августов","Августов","Польша",,"https://ru.wikipedia.org/wiki/Августов",
"Авдеевка","Авдеевка",,,"https://ru.wikipedia.org/wiki/Авдеевка","Да"
"Авила (город)","Авила","Испания",,"https://ru.wikipedia.org/wiki/Авила",
"Авиньон","Авиньон","Франция",,"https://ru.wikipedia.org/wiki/Авиньон",
"Агвали","Агвали","Россия",,"https://ru.wikipedia.org/wiki/Агвали",
"Агдам (Товузский район)","Агдам","Азербайджан",,"https://ru.wikipedia.org/wiki/Агдам_(Товузский_район)",
"Агидель","Агидель","Россия","Башкортостан","https://ru.wikipedia.org/wiki/Агидель_(город)",
"Агра (город)","Агра","Индия",,"https://ru.wikipedia.org/wiki/Агра",
"Агрыз","Агрыз","Россия","Татарстан","https://ru.wikipedia.org/wiki/Агрыз",
"Аддис-Абеба","Аддис-Абеба","Эфиопия",,"https://ru.wikipedia.org/wiki/Аддис-Абеба",
"Аделаида","Аделаида","Австралия",,"https://ru.wikipedia.org/wiki/Аделаида",
"Аден (город)","Аден","Йемен",,"https://ru.wikipedia.org/wiki/Аден",
"Адлер","Адлер","Россия",,"https://ru.wikipedia.org/wiki/Адлер",
"Адыгейск","Адыгейск","Россия","Адыгея","https://ru.wikipedia.org/wiki/Адыгейск",
"Азнакаево","Азнакаево","Россия","Татарстан","https://ru.wikipedia.org/wiki/Азнакаево",
"Азов","Азов","Россия","Ростовская область","https://ru.wikipedia.org/wiki/Азов",
"Айдахо-Фолс","Айдахо-Фолс","США",,"https://ru.wikipedia.org/wiki/Айдахо-Фолс",
"Айн-эль-Араб","Айн-эль-Араб","Сирия",,"https://ru.wikipedia.org/wiki/Айн-эль-Араб",
"Ак-Довурак","Ак-Довурак","Россия","Тыва","https://ru.wikipedia.org/wiki/Ак-Довурак",
"Акерабат","Акерабат","Сирия",,"https://ru.wikipedia.org/wiki/Акерабат",
"Акко (город)","Акко","Израиль",,"https://ru.wikipedia.org/wiki/Акко",
"Аккра","Аккра","Гана",,"https://ru.wikipedia.org/wiki/Аккра",
